end_down,game_id,play_id,play_type,quarter,score_value,seconds_remaining,start_down,text,yards
0.0,401437933.0,4014379331,Coin Toss,0.0,0.0,900.0,0.0,GAME,0.0
1.0,401437933.0,40143793342,Kickoff,1.0,0.0,900.0,0.0,"B.Pinion kicks 65 yards from ATL 35 to end zone, Touchback.",0.0
2.0,401437933.0,40143793357,Pass Reception,1.0,0.0,900.0,1.0,(15:00) (Shotgun) D.Blough pass short middle to G.Dortch to ARZ 28 for 3 yards (R.Evans).,3.0
3.0,401437933.0,40143793381,Sack,1.0,0.0,872.0,2.0,"(14:32) (No Huddle, Shotgun) D.Blough sacked at ARZ 21 for -7 yards (I.Oliver).",-7.0
1.0,401437933.0,401437933100,Pass Reception,1.0,0.0,827.0,3.0,(13:47) (Shotgun) D.Blough pass deep right to M.Brown to ARZ 38 for 17 yards (D.Alford).,17.0
2.0,401437933.0,401437933124,Rush,1.0,0.0,806.0,1.0,"(13:26) (No Huddle, Shotgun) Direct snap to J.Conner.  J.Conner right guard to ARZ 40 for 2 yards (R.Evans, A.Anderson).",2.0
1.0,401437933.0,401437933145,Pass Reception,1.0,0.0,771.0,2.0,(12:51) (No Huddle) D.Blough pass short middle to T.McBride to ATL 44 for 16 yards (R.Grant).,16.0
2.0,401437933.0,401437933171,Rush,1.0,0.0,737.0,1.0,"(12:17) (No Huddle) J.Conner left guard to ATL 43 for 1 yard (A.Anderson, J.Hawkins).",1.0
3.0,401437933.0,401437933192,Pass Reception,1.0,0.0,695.0,2.0,(11:35) (Shotgun) D.Blough pass short left to T.McBride to ATL 35 for 8 yards (T.Andersen).,8.0
1.0,401437933.0,401437933216,Rush,1.0,0.0,671.0,3.0,"(11:14) (No Huddle, Shotgun) J.Conner left tackle to ATL 31 for 4 yards (J.Hawkins; T.Andersen).",4.0
2.0,401437933.0,401437933237,Rush,1.0,0.0,640.0,1.0,(10:43) (No Huddle) J.Conner right guard to ATL 24 for 7 yards (R.Grant; I.Oliver).,7.0
1.0,401437933.0,401437933258,Rush,1.0,0.0,605.0,2.0,"(10:05) J.Conner right tackle to ATL 19 for 5 yards (T.Andersen, R.Grant).",5.0
2.0,401437933.0,401437933279,Pass Reception,1.0,0.0,584.0,1.0,"(9:44) (No Huddle, Shotgun) D.Blough pass short right to M.Brown pushed ob at ATL 10 for 9 yards (C.Armstrong).",9.0
2.0,401437933.0,401437933308,Rush,1.0,0.0,549.0,2.0,"(9:09) (No Huddle) J.Conner left end ran ob at ATL 3 for 7 yards (A.Terrell). PENALTY on ARZ-J.Jones, Offensive Holding, 10 yards, enforced at ATL 10 - No Play.",-10.0
3.0,401437933.0,401437933345,Pass Incompletion,1.0,0.0,517.0,2.0,(8:37) (Shotgun) D.Blough pass incomplete deep left to G.Dortch.,0.0
4.0,401437933.0,401437933367,Pass Incompletion,1.0,0.0,512.0,3.0,(8:32) (Shotgun) D.Blough pass incomplete short left to G.Dortch (D.Alford).,0.0
-1.0,401437933.0,401437933389,Field Goal Good,1.0,3.0,504.0,4.0,"(8:28) M.Prater 38 yard field goal is GOOD, Center-H.Bradley, Holder-A.Lee.",38.0
1.0,401437933.0,401437933408,Kickoff,1.0,0.0,504.0,0.0,"M.Prater kicks 65 yards from ARZ 35 to end zone, Touchback.",0.0
