position_name,abbreviation,platoon
Unknown,-,
Defensive Tackle,DT,Defense
Running Back,RB,Offense
Tight End,TE,Offense
Defensive End,DE,Defense
Wide Receiver,WR,Offense
Center,C,Offense
Offensive Tackle,OT,Offense
Safety,S,Defense
Guard,G,Offense
Cornerback,CB,Defense
Linebacker,LB,Defense
Quarterback,QB,Offense
Punter,P,Special Teams
Place kicker,PK,Special Teams
Long Snapper,LS,Special Teams
Fullback,FB,Offense
Nose Tackle,NT,Defense
Defensive Back,DB,Defense
Offensive Lineman,OL,Offense
Defensive Lineman,DL,Defense
Athlete,ATH,
Kick Returner,KR,Special Teams
Punt Returner,PR,Special Teams
